,Ahmedabad_AQI,Aizawl_AQI,Amaravati_AQI,Amritsar_AQI,Bengaluru_AQI,Bhopal_AQI,Brajrajnagar_AQI,Chandigarh_AQI,Chennai_AQI,Coimbatore_AQI,Delhi_AQI,Ernakulam_AQI,Gurugram_AQI,Guwahati_AQI,Hyderabad_AQI,Jaipur_AQI,Jorapokhar_AQI,Kochi_AQI,Kolkata_AQI,Lucknow_AQI,Mumbai_AQI,Patna_AQI,Shillong_AQI,Talcher_AQI,Thiruvananthapuram_AQI,Visakhapatnam_AQI,India_AQI
2017-08-01,,,,111.78260869565217,83.0,,,,95.46428571428571,,68.30434782608695,,140.34615384615384,,64.41935483870968,110.16,78.0,,,96.45161290322581,,,,,61.903225806451616,,90.98315896305658
2017-09-01,,,,150.7,72.46666666666667,,,,88.43333333333334,,114.66666666666667,,144.93333333333334,,68.8,126.20689655172414,,,,105.86666666666666,,,,,59.36666666666667,,103.4933588761175
2017-10-01,601.0,,,319.0769230769231,89.6774193548387,,,,104.87096774193549,,284.16129032258067,,256.1034482758621,,124.48,214.23333333333332,,,,259.06451612903226,,204.28571428571428,,,54.0,116.0,218.9128010433517
2017-11-01,750.6785714285714,,184.16666666666666,282.2,77.23333333333333,,,,92.13333333333334,,406.73333333333335,,372.8,,120.36666666666666,239.6,,,,383.1333333333333,,348.5357142857143,,,88.86666666666666,110.3,265.903663003663
2017-12-01,371.80645161290323,,194.1290322580645,219.46666666666667,96.6774193548387,,247.6,,106.41935483870968,,337.1290322580645,,301.1,,143.74193548387098,168.38709677419354,162.88888888888889,,,374.48387096774195,,406.9642857142857,,,91.75,175.03225806451613,226.50508619218297
2018-01-01,692.1666666666666,,172.4516129032258,172.65217391304347,97.58064516129032,,,,153.70967741935485,,349.741935483871,,343.4516129032258,,143.09677419354838,190.29032258064515,146.95833333333334,,,377.96774193548384,,368.7,,,137.25806451612902,223.55555555555554,254.9700797546695
2018-02-01,932.0,,107.03571428571429,129.62962962962962,81.0,,225.37037037037038,,116.14285714285714,,289.17857142857144,,299.6842105263158,,112.35714285714286,184.78571428571428,160.04,,,317.7142857142857,,310.4074074074074,,350.2105263157895,95.46153846153847,151.39285714285714,241.40067659801213
2018-03-01,781.2258064516129,,80.1,105.13636363636364,92.96551724137932,,269.35483870967744,,108.74193548387096,,234.1290322580645,,188.90322580645162,,113.06451612903226,124.03225806451613,159.12,,,236.48387096774192,,272.3225806451613,,293.59090909090907,85.41935483870968,115.90322580645162,203.7808396956214
2018-04-01,556.2666666666667,,54.0,110.76,85.71428571428571,,144.68965517241378,,69.16666666666667,,245.53333333333333,,192.9090909090909,,96.26666666666667,156.3,110.0,,77.42857142857143,180.83333333333334,,202.4,,140.75,79.17241379310344,75.24137931034483,151.61365076438096
2018-05-01,322.8965517241379,,95.28571428571429,148.32258064516128,92.29032258064517,,123.70967741935483,,82.80645161290323,,235.32258064516128,,216.76666666666668,,98.74193548387096,172.2258064516129,,,,255.6451612903226,79.92,169.1290322580645,,114.2258064516129,64.2258064516129,78.57142857142857,146.88034515864186
